字根个数：478
{臣}	1
{殳}	1
{口无顶}	1
{反𦣞}	1
{反𠂤}	1
{反犭}	1
{倒鬼}	1
{倒隹}	1
{倒见}	1
{倒止}	1
{亦}	1
{◇◇}	1
